name,type,isin,distribution_policy,yahoo_ticker,yahoo_exchange,yahoo_source_url,ordinary_tax_principle,ordinary_income_type,ask_eligible,tax_basis,tax_source_url,classification_as_of
Sydinvest Fjernøsten Akk,Investeringsforeninger,DK0060036994,Akkumulerende,SYIFJERADKKA.CO,CPH,https://finance.yahoo.com/quote/SYIFJERADKKA.CO/,lager,kapitalindkomst,no,VP 2026: 8/B,https://info.skat.dk/data.aspx?oid=2460620,2026-02-01
Sydinvest Fonde KL,Investeringsforeninger,DK0016271042,Distribuerende,SYIFONKL.CO,CPH,https://finance.yahoo.com/quote/SYIFONKL.CO/,realisations,kapitalindkomst,no,VP 2026: 1/O,https://info.skat.dk/data.aspx?oid=2460620,2026-02-01
Sydinvest Formue Obligationer A DKK,Investeringsforeninger,DK0061806981,Distribuerende,SYIFOADKK.CO,CPH,https://finance.yahoo.com/quote/SYIFOADKK.CO/,realisations,kapitalindkomst,no,VP 2026: 1/O,https://info.skat.dk/data.aspx?oid=2460620,2026-02-01
Sydinvest Global Value A DKK,Investeringsforeninger,DK0010101740,Distribuerende,SYIGLVADKK.CO,CPH,https://finance.yahoo.com/quote/SYIGLVADKK.CO/,realisations,aktieindkomst,yes,VP 2026: 1/A,https://info.skat.dk/data.aspx?oid=2460620,2026-02-01
Sydinvest Global Value A DKK Akk,Investeringsforeninger,DK0060669091,Akkumulerende,SYIGLVADKKAKK.CO,CPH,https://finance.yahoo.com/quote/SYIGLVADKKAKK.CO/,lager,kapitalindkomst,no,VP 2026: 8/B,https://info.skat.dk/data.aspx?oid=2460620,2026-02-01
Sydinvest Globale EM-Aktier A DKK,Investeringsforeninger,DK0060499663,Distribuerende,SYIGEAADKK.CO,CPH,https://finance.yahoo.com/quote/SYIGEAADKK.CO/,realisations,aktieindkomst,yes,VP 2026: 1/A,https://info.skat.dk/data.aspx?oid=2460620,2026-02-01
Sydinvest Globale EM-Aktier A DKK Akk,Investeringsforeninger,DK0060499747,Akkumulerende,SYIGEMAADKKA.CO,CPH,https://finance.yahoo.com/quote/SYIGEMAADKKA.CO/,lager,kapitalindkomst,no,VP 2026: 8/B,https://info.skat.dk/data.aspx?oid=2460620,2026-02-01
Sydinvest HøjrenteLande A DKK,Investeringsforeninger,DK0016231921,Distribuerende,SYIHRLADKK.CO,CPH,https://finance.yahoo.com/quote/SYIHRLADKK.CO/,realisations,kapitalindkomst,no,VP 2026: 1/O,https://info.skat.dk/data.aspx?oid=2460620,2026-02-01
Sydinvest Indeks Danmark A DKK,Investeringsforeninger,DK0061541232,Distribuerende,SYIIDKADKK.CO,CPH,https://finance.yahoo.com/quote/SYIIDKADKK.CO/,realisations,aktieindkomst,yes,VP 2026: 1/A,https://info.skat.dk/data.aspx?oid=2460620,2026-02-01
Sydinvest Indeks Morningstar Leaders KL,Investeringsforeninger,DK0061111572,Distribuerende,SYIIMSLKL.CO,CPH,https://finance.yahoo.com/quote/SYIIMSLKL.CO/,realisations,aktieindkomst,yes,VP 2026: 1/A,https://info.skat.dk/data.aspx?oid=2460620,2026-02-01
Sydinvest Indeks Tyskland A DKK,Investeringsforeninger,DK0060033116,Distribuerende,SYIITYADKK.CO,CPH,https://finance.yahoo.com/quote/SYIITYADKK.CO/,realisations,aktieindkomst,yes,VP 2026: 1/A,https://info.skat.dk/data.aspx?oid=2460620,2026-02-01
Sydinvest Korte Obligationer A DKK,Investeringsforeninger,DK0015916225,Distribuerende,SYIKOADKK.CO,CPH,https://finance.yahoo.com/quote/SYIKOADKK.CO/,realisations,kapitalindkomst,no,VP 2026: 1/O,https://info.skat.dk/data.aspx?oid=2460620,2026-02-01
